Identifier	Monoisotopic Mass (Da)	Average Mass (Da)	Notes
A	71.0371138	71.0779	alanine, Ala, C3H5NO
C	103.0091845	103.1429	cysteine, Cys, C3H6NOS
D	115.0269431	115.0874	aspartic acid, Asp, C4H5NO3
E	129.0425931	129.11398	glutamic acid, Glu, C5H7NO3
F	147.0684139	147.17386	phenylalanine, Phe, C9H9NO
G	57.02146373	57.05132	glycine, Gly, C2H3NO
H	137.0589119	137.13928	histidine, His, C6H7N3O
I	113.084064	113.15764	isoleucine, Ile, C6H11NO
K	128.094963	128.17228	lysine, Lys, C6H12N2O
L	113.084064	113.15764	leucine, Leu, C6H11NO
M	131.0404846	131.19606	methionine, Met, C5H9NOS
N	114.0429275	114.10264	asparagine, Asn, C4H6N2O2
P	97.05276386	97.11518	proline, Pro, C5H7NO
Q	128.0585775	128.12922	glutamine, Gln, C5H8N2O2
R	156.101111	156.18568	arginine, Arg, C6H12N4O
S	87.03202843	87.0773	serine, Ser, C3H5NO2
T	101.0476785	101.10388	threonine, Thr, C4H7NO2
U	150.9536333957	150.0379	selenocysteine, SeC, C3H5NOSe
V	99.06841392	99.13106	valine, Val, C5H9NO
W	186.079313	186.2099	tryptophan, Trp, C11H10N2O
Y	163.0633286	163.17326	tyrosine, Try, C9H9NO2
